6
Programming,4
PRG210,Programming Using C++,M/W,550.00
OOP244,Introduction to Object-Oriented Programming,T/R,575.00
IPC144,Introduction to Programming Using C,W/F,525.00
SFT221,Software Testing,M/W,500.00
Networking,3
NTF201,Networking Fundamentals,T/R,550.00
OPS102,Operating Systems for Programmers,M/W,525.00
WEB222,Web Programming Principles,W/F,575.00
Systems Analysis,3
SYS210,Systems Analysis,M/W,550.00
SYD366,Software Analysis and Design I,T/R,600.00
PMC444,IT Project Management Fundamentals,W/F,575.00
Mathematics and Databases,3
MTH230,Discrete Mathematics,M/W,500.00
MTH140,Mathematics for Programmers,T/R,500.00
DBS211,Introduction to Database Systems,W/F,550.00
English and Liberal Studies,6
EAC594,Business Communication for the Digital Workplace,M/W,475.00
LSO119,Science Fiction,T/R,450.00
LSO120,Introduction to Sociology,W/F,450.00
LSO217,The Short Story,M/W,450.00
LSO480,Exploring Personality and Identity,T/R,450.00
LSO510,Indigenous Awareness,W/F,450.00
Engeneering,1
ENG101,Structures,T/R,520.00
